test_id, num_years, time_sec
1.1, 7, 54.4
1.2.1, 7, 390.8
1.2.2, 7, 223.1
1.3.1, 7, 805.3
1.3.2, 7, 19.2
1.4.1, 7, 616.9
1.4.2, 7, 18.9
2.1, 7, 68.0
2.2, 7, 359.4
2.3, 7, 57.5
2.4, 7, 14.3
3.1, 7, 49.4
3.2, 7, 394.3
3.3, 7, 60.6
3.4, 7, 4.1
1.1, 7, 43.2
1.2.1, 7, 335.8
1.2.2, 7, 182.4
1.3.1, 7, 992.0
1.3.2, 7, 21.6
1.4.1, 7, 1092.9
1.4.2, 7, 31.3
2.1, 7, 35.3
2.2, 7, 326.7
2.3, 7, 14.4
2.4, 7, 7.9
3.1, 7, 40.2
3.2, 7, 433.6
3.3, 7, 16.6
3.4, 7, 8.3
1.1, 7, 44.1
1.2.1, 7, 346.0
1.2.2, 7, 318.9
1.3.1, 7, 1157.2
1.3.2, 7, 38.7
1.4.1, 7, 1011.9
1.4.2, 7, 20.6
2.1, 7, 47.4
2.2, 7, 367.3
2.3, 7, 19.1
2.4, 7, 13.0
3.1, 7, 31.3
3.2, 7, 355.6
3.3, 7, 14.5
3.4, 7, 4.1
2.5, 7, 95.4
2.5, 7, 80.4
2.5, 7, 84.2
1.2.1.2, 7, 529.9
1.2.2.2, 7, 449.5
2.2.2, 7, 464.1
3.2.2, 7, 507.0
1.2.1.2, 7, 513.4
1.2.2.2, 7, 294.2
2.2.2, 7, 439.6
3.2.2, 7, 556.5
1.2.1.2, 7, 500.1
1.2.2.2, 7, 299.3
2.2.2, 7, 420.7
3.2.2, 7, 547.7
