test_id, num_years, time_sec
1.1, 5, 64.0
1.2.1, 5, 271.3
1.2.2, 5, 201.3
1.3.1, 5, 488.6
1.3.2, 5, 20.4
1.4.1, 5, 568.7
1.4.2, 5, 16.4
2.1, 5, 57.6
2.2, 5, 224.4
2.3, 5, 38.8
2.4, 5, 13.2
3.1, 5, 25.7
3.2, 5, 259.4
3.3, 5, 10.2
3.4, 5, 3.4
1.1, 5, 32.4
1.2.1, 5, 236.2
1.2.2, 5, 200.0
1.3.1, 5, 752.3
1.3.2, 5, 21.3
1.4.1, 5, 842.1
1.4.2, 5, 27.0
2.1, 5, 41.3
2.2, 5, 214.2
2.3, 5, 10.8
2.4, 5, 25.3
3.1, 5, 27.7
3.2, 5, 437.7
3.3, 5, 37.9
3.4, 5, 16.8
1.1, 5, 32.0
1.2.1, 5, 248.0
1.2.2, 5, 176.4
1.3.1, 5, 786.5
1.3.2, 5, 20.3
1.4.1, 5, 760.4
1.4.2, 5, 28.0
2.1, 5, 36.3
2.2, 5, 225.2
2.3, 5, 6.9
2.4, 5, 15.1
3.1, 5, 30.4
3.2, 5, 247.8
3.3, 5, 26.7
3.4, 5, 8.8
2.5, 5, 57.1
2.5, 5, 58.0
2.5, 5, 57.6
1.2.1.2, 5, 395.6
1.2.2.2, 5, 156.9
1.2.1.2, 5, 411.9
1.2.2.2, 5, 266.4
1.2.1.2, 5, 407.1
1.2.2.2, 5, 294.6
1.2.1.2, 5, 399.8
1.2.2.2, 5, 380.2
2.2.2, 5, 295.9
3.2.2, 5, 414.8
1.2.1.2, 5, 407.5
1.2.2.2, 5, 165.2
2.2.2, 5, 289.5
3.2.2, 5, 370.6
1.2.1.2, 5, 387.2
1.2.2.2, 5, 152.8
2.2.2, 5, 218.0
3.2.2, 5, 372.8
