test_id, num_years, time_sec
1.1, 1, 15.5
1.2.1, 1, 61.9
1.2.2, 1, 36.7
1.3.1, 1, 153.9
1.3.2, 1, 9.7
1.4.1, 1, 100.8
1.4.2, 1, 7.8
2.1, 1, 10.3
2.2, 1, 44.5
2.3, 1, 18.3
2.4, 1, 6.3
3.1, 1, 3.9
3.2, 1, 43.7
3.3, 1, 18.3
3.4, 1, 3.2
1.1, 1, 12.7
1.2.1, 1, 54.1
1.2.2, 1, 34.2
1.3.1, 1, 168.8
1.3.2, 1, 19.2
1.4.1, 1, 127.9
1.4.2, 1, 8.2
2.1, 1, 6.0
2.2, 1, 47.4
2.3, 1, 6.4
2.4, 1, 8.8
3.1, 1, 3.8
3.2, 1, 45.6
3.3, 1, 6.5
3.4, 1, 6.8
1.1, 1, 13.0
1.2.1, 1, 52.8
1.2.2, 1, 34.1
1.3.1, 1, 150.2
1.3.2, 1, 14.4
1.4.1, 1, 115.2
1.4.2, 1, 10.6
2.1, 1, 10.0
2.2, 1, 43.0
2.3, 1, 9.4
2.4, 1, 16.4
3.1, 1, 3.8
3.2, 1, 42.9
3.3, 1, 6.3
3.4, 1, 3.4
2.5, 1, 17.1
2.5, 1, 11.0
2.5, 1, 12.1
2.5, 1, 11.6
2.5, 1, 12.6
2.5, 1, 12.4
2.5, 1, 11.3
1.2.1.2, 1, 174.6
1.2.2.2, 1, 30.1
1.2.1.2, 1, 162.0
1.2.2.2, 1, 30.0
1.2.1.2, 1, 161.8
1.2.2.2, 1, 29.9
1.2.1.2, 1, 169.4
1.2.2.2, 1, 31.4
2.2.2, 1, 26.0
3.2.2, 1, 26.0
1.2.1.2, 1, 167.8
1.2.2.2, 1, 31.4
2.2.2, 1, 26.0
3.2.2, 1, 26.0
1.2.1.2, 1, 169.7
1.2.2.2, 1, 31.4
2.2.2, 1, 26.1
3.2.2, 1, 26.0
