test_id, num_years, time_sec
1.1, 6, 73.4
1.2.1, 6, 342.6
1.2.2, 6, 201.6
1.3.1, 6, 701.5
1.3.2, 6, 22.9
1.4.1, 6, 625.7
1.4.2, 6, 18.2
2.1, 6, 71.1
2.2, 6, 298.3
2.3, 6, 21.2
2.4, 6, 10.2
3.1, 6, 33.3
3.2, 6, 302.3
3.3, 6, 32.0
3.4, 6, 6.5
1.1, 6, 42.1
1.2.1, 6, 302.8
1.2.2, 6, 218.8
1.3.1, 6, 991.7
1.3.2, 6, 28.8
1.4.1, 6, 975.8
1.4.2, 6, 29.4
2.1, 6, 48.9
2.2, 6, 392.5
2.3, 6, 21.8
2.4, 6, 14.4
3.1, 6, 52.4
3.2, 6, 410.5
3.3, 6, 40.9
3.4, 6, 6.9
1.1, 6, 38.2
1.2.1, 6, 309.9
1.2.2, 6, 198.6
1.3.1, 6, 855.5
1.3.2, 6, 24.6
1.4.1, 6, 939.4
1.4.2, 6, 30.1
2.1, 6, 33.5
2.2, 6, 288.6
2.3, 6, 13.6
2.4, 6, 13.1
3.1, 6, 49.3
3.2, 6, 317.1
3.3, 6, 27.6
3.4, 6, 7.0
2.5, 6, 86.3
2.5, 6, 67.6
2.5, 6, 71.2
1.2.1.2, 6, 457.4
1.2.2.2, 6, 386.6
2.2.2, 6, 408.8
3.2.2, 6, 448.1
1.2.1.2, 6, 455.3
1.2.2.2, 6, 273.6
2.2.2, 6, 422.9
3.2.2, 6, 462.8
1.2.1.2, 6, 456.0
1.2.2.2, 6, 261.6
2.2.2, 6, 393.6
3.2.2, 6, 468.9
