test_id, num_years, time_sec
1.1, 2, 28.2
1.2.1, 2, 112.7
1.2.2, 2, 73.8
1.3.1, 2, 259.9
1.3.2, 2, 9.9
1.4.1, 2, 273.9
1.4.2, 2, 9.9
2.1, 2, 28.0
2.2, 2, 61.8
2.3, 2, 6.5
2.4, 2, 6.5
3.1, 2, 9.0
3.2, 2, 81.8
3.3, 2, 10.9
3.4, 2, 10.0
1.1, 2, 22.2
1.2.1, 2, 100.6
1.2.2, 2, 73.5
1.3.1, 2, 264.4
1.3.2, 2, 17.7
1.4.1, 2, 286.1
1.4.2, 2, 24.5
2.1, 2, 17.4
2.2, 2, 64.9
2.3, 2, 19.7
2.4, 2, 11.1
3.1, 2, 10.1
3.2, 2, 75.8
3.3, 2, 15.3
3.4, 2, 6.4
1.1, 2, 20.0
1.2.1, 2, 109.6
1.2.2, 2, 81.0
1.3.1, 2, 270.1
1.3.2, 2, 16.5
1.4.1, 2, 333.7
1.4.2, 2, 14.2
2.1, 2, 17.6
2.2, 2, 65.2
2.3, 2, 10.0
2.4, 2, 14.6
3.1, 2, 13.6
3.2, 2, 75.3
3.3, 2, 17.3
3.4, 2, 7.5
