test_id, num_years, time_sec
1.1, 9, 76.7
1.2.1, 9, 478.9
1.2.2, 9, 291.5
1.3.1, 9, 1057.1
1.3.2, 9, 30.7
1.4.1, 9, 942.0
1.4.2, 9, 23.6
2.1, 9, 87.4
2.2, 9, 446.8
2.3, 9, 55.2
2.4, 9, 9.7
3.1, 9, 63.5
3.2, 9, 473.0
3.3, 9, 60.4
3.4, 9, 7.6
1.1, 9, 53.7
1.2.1, 9, 440.8
1.2.2, 9, 434.7
1.3.1, 9, 1457.9
1.3.2, 9, 26.4
1.4.1, 9, 1296.3
1.4.2, 9, 31.3
2.1, 9, 74.9
2.2, 9, 430.8
2.3, 9, 45.6
2.4, 9, 10.2
3.1, 9, 77.5
3.2, 9, 467.9
3.3, 9, 38.1
3.4, 9, 4.6
1.1, 9, 53.2
1.2.1, 9, 438.4
1.2.2, 9, 328.0
1.3.1, 9, 1413.7
1.3.2, 9, 29.1
1.4.1, 9, 1201.5
1.4.2, 9, 29.8
2.1, 9, 52.9
2.2, 9, 453.7
2.3, 9, 51.5
2.4, 9, 7.9
3.1, 9, 57.3
3.2, 9, 447.1
3.3, 9, 28.3
3.4, 9, 7.4
2.5, 9, 118.4
2.5, 9, 102.6
2.5, 9, 106.9
