test_id, num_years, time_sec
1.1, 4, 29.7
1.2.1, 4, 205.2
1.2.2, 4, 156.4
1.3.1, 4, 518.8
1.3.2, 4, 27.6
1.4.1, 4, 458.9
1.4.2, 4, 13.5
2.1, 4, 26.1
2.2, 4, 146.4
2.3, 4, 10.4
2.4, 4, 9.9
3.1, 4, 23.0
3.2, 4, 199.2
3.3, 4, 15.4
3.4, 4, 3.4
1.1, 4, 27.4
1.2.1, 4, 193.6
1.2.2, 4, 151.6
1.3.1, 4, 569.2
1.3.2, 4, 13.8
1.4.1, 4, 618.5
1.4.2, 4, 26.8
2.1, 4, 32.3
2.2, 4, 180.9
2.3, 4, 13.2
2.4, 4, 21.3
3.1, 4, 22.9
3.2, 4, 321.3
3.3, 4, 21.4
3.4, 4, 3.6
1.1, 4, 28.4
1.2.1, 4, 201.6
1.2.2, 4, 158.7
1.3.1, 4, 568.6
1.3.2, 4, 23.0
1.4.1, 4, 628.4
1.4.2, 4, 34.4
2.1, 4, 28.1
2.2, 4, 169.4
2.3, 4, 9.6
2.4, 4, 10.9
3.1, 4, 25.7
3.2, 4, 196.1
3.3, 4, 12.9
3.4, 4, 7.1
