test_id, num_years, time_sec
1.1, 8, 47.7
1.2.1, 8, 392.6
1.2.2, 8, 272.4
1.3.1, 8, 1280.0
1.3.2, 8, 30.0
1.4.1, 8, 1162.9
1.4.2, 8, 24.0
2.1, 8, 57.9
2.2, 8, 468.5
2.3, 8, 20.0
2.4, 8, 15.9
3.1, 8, 44.7
3.2, 8, 427.2
3.3, 8, 50.4
3.4, 8, 5.0
1.1, 8, 49.2
1.2.1, 8, 399.8
1.2.2, 8, 253.3
1.3.1, 8, 1318.6
1.3.2, 8, 37.0
1.4.1, 8, 1121.2
1.4.2, 8, 25.4
2.1, 8, 61.8
2.2, 8, 420.4
2.3, 8, 22.6
2.4, 8, 12.5
3.1, 8, 57.6
3.2, 8, 423.8
3.3, 8, 37.5
3.4, 8, 4.4
1.1, 8, 74.7
1.2.1, 8, 401.5
1.2.2, 8, 320.0
1.3.1, 8, 878.3
1.3.2, 8, 36.4
1.4.1, 8, 838.1
1.4.2, 8, 24.3
2.1, 8, 28.9
2.2, 8, 388.2
2.3, 8, 18.9
2.4, 8, 18.8
3.1, 8, 31.8
3.2, 8, 395.5
3.3, 8, 16.2
3.4, 8, 4.2
