test_id, num_years, time_sec
1.1, 11, 113.6
1.3.2, 11, 61.3
1.4.2, 11, 27.7
2.1, 11, 62.1
2.3, 11, 25.0
2.4, 11, 7.6
3.1, 11, 49.3
3.3, 11, 14.0
3.4, 11, 7.8
1.1, 11, 99.0
1.3.2, 11, 63.2
1.4.2, 11, 28.5
2.1, 11, 56.7
2.3, 11, 26.6
2.4, 11, 13.8
3.1, 11, 51.6
3.3, 11, 21.4
3.4, 11, 4.7
1.1, 11, 61.2
1.3.2, 11, 39.4
1.4.2, 11, 42.1
2.1, 11, 48.5
2.3, 11, 20.8
2.4, 11, 7.7
3.1, 11, 50.0
3.3, 11, 26.9
3.4, 11, 4.6
1.1, 11, 133.8
1.3.2, 11, 64.8
1.4.2, 11, 26.7
2.1, 11, 53.5
2.3, 11, 17.8
2.4, 11, 13.1
1.1, 11, 65.1
1.3.2, 11, 36.1
1.4.2, 11, 26.6
2.1, 11, 61.9
2.3, 11, 16.8
2.4, 11, 8.0
1.1, 11, 68.5
1.3.2, 11, 37.1
1.4.2, 11, 26.4
2.1, 11, 48.5
2.3, 11, 17.5
2.4, 11, 7.8
1.1, 11, 129.0
1.3.2, 11, 62.6
1.4.2, 11, 31.2
2.1, 11, 56.9
2.3, 11, 14.1
2.4, 11, 7.8
1.1, 11, 68.0
1.3.2, 11, 45.1
1.4.2, 11, 26.3
2.1, 11, 54.7
2.3, 11, 21.6
2.4, 11, 11.9
1.1, 11, 75.4
1.3.2, 11, 44.0
1.1, 11, 108.0
1.3.2, 11, 60.2
1.4.2, 11, 26.8
2.1, 11, 59.5
2.3, 11, 15.1
2.4, 11, 8.0
1.1, 11, 81.3
1.3.2, 11, 38.8
1.1, 11, 155.7
1.3.2, 11, 67.6
1.4.2, 11, 26.7
2.1, 11, 66.5
2.3, 11, 18.7
2.4, 11, 12.0
2.5, 11, 147.1
3.1, 11, 97.8
3.3, 11, 54.7
3.4, 11, 8.7
1.1, 11, 72.2
1.3.2, 11, 35.4
1.4.2, 11, 26.5
2.1, 11, 50.2
2.3, 11, 14.3
2.4, 11, 7.9
2.5, 11, 134.8
3.1, 11, 92.7
3.3, 11, 68.3
3.4, 11, 9.1
1.1, 11, 91.4
1.3.2, 11, 45.8
1.4.2, 11, 36.2
2.1, 11, 93.2
2.3, 11, 20.5
2.4, 11, 12.3
2.5, 11, 140.9
3.1, 11, 99.1
3.3, 11, 47.0
3.4, 11, 5.7
2.5, 11, 139.7
2.5, 11, 129.6
2.5, 11, 129.7
